userName,score,at,content
Arimaarief Abdullah,1,2022-11-30 12:03:39,Tolol aplikasi ny gak bisa cek sertifikat nyusahin aja cok plis perbaiki lah kami dah vaksin kenapa gk muncul tuh di aplikasi ny
Azis boncos Official,2,2022-11-30 11:01:55,Untuk HP poco m3 gak bener ini apk gak bisa kebuka terus scan juga gak bisa
REVAN ARSHAKA TAMA,2,2022-11-30 10:56:53,"Di layar hp yg di bawah 5 inci tidak ada tombol pilihan download sertifikat di aplikasi peduli lindungi,tolong di perbaharui lagi"
Johnny Sins,1,2022-11-30 08:49:20,Sangat menyebalkan karena lelet sekali membukanya aplikasi
christ one,5,2022-11-30 05:20:41,"Buka aplikasi dan cek data cepat, lancar tanpa kendala"
awi gilang,1,2022-11-30 04:15:57,"Aplikasi ini ngebug dan tidak bisa saya gunakan, jadi saya tidak perlu pake aplikasi ini. Trims kasih"
Aden minang,1,2022-11-30 01:12:14,Saya kok gak bisa daftar ya alesan nya nomor nik dan nama harus sesuai ktp. Padahal nama dan nik nya udah sama dengan KTP dan KK
Mia Adja,2,2022-11-29 23:42:39,Kenapa sih kita udah daftar peduli lindungi mau verifikasi vaksin luar negri nggak bisa sudah seminggu lebih belum ada verifikasi..statusnya menunggu terus
Rachman Doang,1,2022-11-29 22:59:04,Bila terhapus aplikasi ganti HP sulit masuk kembali walaupun sdh download tidak otomatis
Firman Firdaus,4,2022-11-29 15:26:44,Aplikasi Dan layanannya sudah bagus Tapi tolong bug seperti lama masuk ke dalam aplikasi nya tolong segera di fix
Dir Loozdugk,2,2022-11-29 14:51:16,Saya tidak bisa login karena nomor yg pernah terdaftar sudah tidak aktif bagaimana cara merubah nomor telpon agar bisa login ...?
L D,1,2022-11-29 14:32:08,apl ini sangat buruk. terlalu banyak bug. lemotnya bukan main ampunn.
dimas prayoga,1,2022-11-29 12:54:59,"Gk jelas nomor hp ilang mau buka lagi harus makr verifikasi nomor hp yg ilang, mau daftar ulang make nik sama malah gk bisa mau chat lewat email malah gagal terus, stres sistem apk gini diperkuat kominfo aja ampe kebobol 🙈"
Rizki Sulaeman,1,2022-11-29 11:53:20,"Aplikasi terlalu banyak bug, menyulitkan untuk akses barcode izin masuk"
Denis Grandpaa,5,2022-11-29 10:43:50,"Asalamualaikum...,semua ulasan sepertinya banyak yg minus nih,jujur saja handphone saya asus z010d ram 1 GB tapi mampu membuka aplikasi PeduliLindungi dengan lancar dan aman aman saja tuh,tidak ada bug bag bug segala macam lah,bahkan saya ganti email saja prosesnya secepat kilat,semua terkonfirmasi dengan lancar dan aman dan menurut saya pribadi aplikasi ini sudah sangat bagus sekali dan layak mendapatkan bintang 5,maju terus Indonesia ku Indonesia ku pulih lebih cepat bangkit lebih akurat 👍"
Nurma Fitrianingsih,1,2022-11-29 07:57:27,"No hp saya yg lama rusak, jadi ga bisa log in, log in lewat email pun ga bisa, ga ada opsi lain lagi, udah saya ganti lewat wa kemenkes tapi ttp aja udah nunggu 1x24 jam ga bs log in ke no yg baru, aneh bgt, udah mah menuhin memori trus susah log in plis perbaiki aplikasi dan juga kinerja kalian semua"
Ria Astuti,1,2022-11-28 22:18:35,"Kecewa dengan sistemnya, tanggal, jenis, dan lokasi vaksin saya berbeda dan gak bisa di ubah, komplain sana sini malah lempar2an aja jawabannya. Gimana sih, katanya sudah sistem digital masa si inputornya salah masukin nik saya, dan gak bisa di ubah lagi. Pantes aja yaa, banyak orang tidak vaksin tapi bisa keluar sertifikatnya"
ilham amara,1,2022-11-28 18:16:36,"saya nge daftar salah terus nama dengan NIK nya,tolong kerja sama nya pak,ini saya sudah,sayang banget kalo ga ada sertifikat nya,di tunggu!!!!!"
KLMahers,1,2022-11-28 17:06:05,"Sudah pernah daftar di hp lama, ini mau login lagi masa no hp nggak diketahui, terus juga nggak bisa daftar akasanya data nggak sesuai ktp padahal sudah sama. Heran juga, kenapa ga bisa login pake no ktp. Malah pake email dan no hp. Ga ada tombol bantuan nyari akun atau gmn. Minus banget aplikasi."
