"","klasifikasi","score","text"
"1","Negatif",-2,"tolol aplikasi ny gak  cek sertifikat nyusahin aja cok plis perbaiki   dah vaksin  gk muncul tuh  aplikasi ny"
"2","Netral",0," hp poco m gak bener  apk gak  kebuka  scan  gak "
"3","Positif",1," layar hp yg   inci   tombol pilihan download sertifikat  aplikasi peduli lindungitolong  perbaharui "
"4","Negatif",-1," menyebalkan  lelet  membukanya aplikasi"
"5","Positif",1,"buka aplikasi  cek data cepat lancar  kendala"
"6","Positif",1,"aplikasi  ngebug          pake aplikasi  trims kasih"
"7","Netral",0,"  gak  daftar ya alesan nya nomor nik  nama  sesuai ktp  nama  nik nya udah   ktp  kk"
"8","Netral",0," sih  udah daftar peduli lindungi  verifikasi vaksin  negri nggak   seminggu    verifikasistatusnya menunggu "
"9","Netral",0," terhapus aplikasi ganti hp sulit masuk   sdh download  otomatis"
"10","Positif",1,"aplikasi  layanannya  bagus  tolong bug   masuk   aplikasi nya tolong   fix"
"11","Netral",0,"   login  nomor yg  terdaftar   aktif   merubah nomor telpon   login "
"12","Negatif",-3,"apl   buruk   bug lemotnya  main ampunn"
"13","Negatif",-3,"gk  nomor hp ilang  buka   makr verifikasi nomor hp yg ilang  daftar ulang make nik   gk   chat  email  gagal  stres sistem apk gini diperkuat kominfo aja ampe kebobol "
"14","Netral",0,"aplikasi   bug menyulitkan  akses barcode izin masuk"
"15","Positif",4,"asalamualaikumsemua ulasan   yg minus nihjujur  handphone  asus zd ram gb   membuka aplikasi pedulilindungi  lancar  aman aman  tuhtidak  bug bag bug   lahbahkan  ganti email  prosesnya secepat kilatsemua terkonfirmasi  lancar  aman    pribadi aplikasi    bagus   layak  bintang maju  indonesia ku indonesia ku pulih  cepat bangkit  akurat "
"16","Negatif",-7,"no hp  yg  rusak  ga  log in log in  email  ga  ga  opsi   udah  ganti  wa kemenkes  ttp aja udah nunggu x jam ga bs log in  no yg  aneh bgt udah mah menuhin memori trus susah log in plis perbaiki aplikasi   kinerja  "
"17","Negatif",-4,"kecewa  sistemnya tanggal jenis  lokasi vaksin  berbeda  gak   ubah komplain    lemparan aja jawabannya gimana sih   sistem digital  si inputornya salah masukin nik   gak   ubah  pantes aja yaa  orang  vaksin    sertifikatnya"
"18","Netral",0," nge daftar salah  nama  nik nyatolong kerja  nya pakini  sudahsayang banget kalo ga  sertifikat nyadi tunggu"
"19","Positif",2,"  daftar  hp    login   no hp nggak    nggak  daftar akasanya data nggak sesuai ktp    heran   ga  login pake no ktp  pake email  no hp ga  tombol bantuan nyari akun  gmn minus banget aplikasi"
"20","Negatif",-1,"   sertifikat vaksin layar putih  disuruh buka  website  gunanya aplikasi    hapus cache logout login ulang instal ulang aplikasi hasilnya   ulasan    kebanyakan mengeluh  update aplikasi  diuji   dirilis  butuhnya solusi  permintaan maaf   berupaya   dorongan  memperbaiki sistem  buruk  terimakasih"
"21","Netral",0,"  sertivikat nya gk   download  pas  buka  nge bug gambar nya gk jelaskecewa banget sumpahh"
"22","Netral",0,"menkes  aplikasi  kepake kaga sih kaga  login gw pake email  kalo udah kaga kepake  gw apus aja menuhin memory aja "
"23","Netral",0,"aplikasinya sdh bagus  kekurangan mode gelap utk meminimalisir pemakaian daya batrey "
"24","Positif",3,"  cek sertifikat vaksin ngak muncul  layarnya berwarna putih   tunggu  menit  hasilnya   layar berwarna putih"
"25","Negatif",-1,"  membantu wni yg  vaksin   negeri  dipersulit  diprioritaskan pokoknya kecewa   membantu warganya menkes indonesia idak bagus jelek pelayanannya  dosis yg diterima   negeri  berlaku  indonesia     dosis yg     vaksin indonesia menyulitkan warganya  kecewa  negara "
"26","Positif",1,"jaringan gak adahilang  bs masuk aplikasi"
"27","Netral",0,"aplikasi  lelet   membantu   vaksin kali  data    berguna  "
"28","Netral",0," daftar  tulisan sesuaikan nama  kk sesuai ktp  dah  "
"29","Netral",0,"gak  daftar  data udah bener "
"30","Negatif",-1,"aplikasi  ni susah   bikin ribet  daftar sesuai  nama  dokumen    salah"
"31","Negatif",-4,"aplikasi tolol puskesmas  sertifikat paksin tp aplikasi nya tolol lu loading mulu ngapain  aturan  sertifikat klo aplikasi nya tolol ga  dibuka sertifikat nya sinyal g lancar"
"32","Positif",3,"  suka apl   bug    android  salahnya ram   penyimpanan  gb  gb merek hp samsung as terimakasih semoga cepat diperbaiki   apl buatan asli nusantara    bagus  negara  terimakasih semoga    dev pembuat apl "
"33","Positif",1," membantu   perjalanan   kota  masuk  fasilitas "
"34","Negatif",-1,"tolong  bang dev kalo  claim serifikat  masukan tanggal vaksinasi kebanyakan ibuibu kampung lupa  kertas  hilang    bantu claim  tetangga   ambil bantuan blt   pake sertifikat garagara  lupa tanggal vaksin  gak  claim sertifikat ayo  bang dev   persulit awalawal  gak pake gituan  "
"35","Positif",1,"mohon aplikasinya  tingkatkan      durasi bikin burus paket internet"
"36","Netral",0,"aplikasi nya  update  kadang suka penuhin memori hp"
"37","Positif",1," akses data sulit banget    download sertifikat vaksin mohon perbaikanya "
